slug,title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated,eligibility,benefits,applicationProcess,documents
open-doors-russian-scholarship-bachelors,Open Doors: Russian Scholarship Project,"A competitive government-funded scholarship allowing international students to study tuition-free at leading Russian universities. Selection is merit-based through online Olympiads.",Russia,Bachelors,Fully Funded,"January (varies by year)","Full degree duration",https://od.globaluni.ru,"Open Doors - Global Universities",2026-02-06,"International applicants | Meet the Open Doors Olympiad rules | Meet program-specific requirements","Tuition-free study (tuition only) | Study at leading Russian universities | Merit-based selection via Olympiad","Review tracks and eligibility | Register and complete Olympiad stages online | Follow official admission steps after selection","Passport | Academic transcripts | Diploma or expected graduation proof | Program-specific documents (if required)"
open-doors-russian-scholarship-masters,Open Doors: Russian Scholarship Project,"A competitive government-funded scholarship allowing international students to study tuition-free at leading Russian universities. Selection is merit-based through online Olympiads.",Russia,Masters,Fully Funded,"January (varies by year)","Full degree duration",https://od.globaluni.ru,"Open Doors - Global Universities",2026-02-06,"International applicants | Meet the Open Doors Olympiad rules | Meet program-specific requirements","Tuition-free study (tuition only) | Study at leading Russian universities | Merit-based selection via Olympiad","Review tracks and eligibility | Register and complete Olympiad stages online | Follow official admission steps after selection","Passport | Academic transcripts | Diploma or expected graduation proof | Program-specific documents (if required)"
open-doors-russian-scholarship-phd,Open Doors: Russian Scholarship Project,"A competitive government-funded scholarship allowing international students to study tuition-free at leading Russian universities. Selection is merit-based through online Olympiads.",Russia,PhD,Fully Funded,"January (varies by year)","Full degree duration",https://od.globaluni.ru,"Open Doors - Global Universities",2026-02-06,"International applicants | Meet the Open Doors Olympiad rules | Meet program-specific requirements","Tuition-free study (tuition only) | Study at leading Russian universities | Merit-based selection via Olympiad","Review tracks and eligibility | Register and complete Olympiad stages online | Follow official admission steps after selection","Passport | Academic transcripts | Diploma or expected graduation proof | Program-specific documents (if required)"
erasmus-mundus-joint-master-degrees, Erasmus Mundus Joint Master Degrees (EMJM),"EU-funded joint masters programs delivered by multiple European universities with full financial support. Highly competitive and internationally recognized.","Multiple (EU)",Masters,Fully Funded,"December-January (program specific)","1-2 years",https://erasmus-plus.ec.europa.eu,"European Commission - Erasmus+",2026-02-06,"Meet the selected program requirements | Submit a complete application to the consortium | Provide required language proof if requested","Tuition coverage | Monthly stipend (program dependent) | Travel and installation support (program dependent)","Choose an EMJM program | Prepare your documents | Apply through the program consortium portal | Track results on the official site","Passport | Academic transcripts | CV | Motivation letter | Language proficiency certificate"
chevening-scholarship,Chevening Scholarship,"UK government scholarship for future leaders to pursue a one-year masters degree at any UK university.",United Kingdom,Masters,Fully Funded,November,"1 year",https://www.chevening.org,"UK Foreign Commonwealth and Development Office",2026-02-06,"Citizen of an eligible country or territory | Meet academic requirements for a UK masters | Meet work experience and other program requirements","Tuition fees | Monthly living allowance | Travel costs | Visa and related fees (as applicable)","Review eligibility and timeline | Submit online application | Provide references and documents | Attend interview if shortlisted","Passport | Academic transcripts | References | Personal statements | Work history details"
daad-epos-scholarship-masters,DAAD EPOS Scholarship,"German government scholarship for professionals from developing countries pursuing development-related masters and PhD programs.",Germany,Masters,Fully Funded,"August-October (program dependent)","1-3 years",https://www.daad.de/en,"DAAD - German Academic Exchange Service",2026-02-06,"From an eligible developing country | Relevant academic degree | Professional experience (often required)","Monthly stipend | Health insurance | Travel allowance | Additional support depending on program","Select an EPOS course | Prepare required documents | Apply directly to the course or university | Follow DAAD selection process","CV | Motivation letter | Academic transcripts | Proof of work experience | Language proficiency certificate"
daad-epos-scholarship-phd,DAAD EPOS Scholarship,"German government scholarship for professionals from developing countries pursuing development-related masters and PhD programs.",Germany,PhD,Fully Funded,"August-October (program dependent)","1-3 years",https://www.daad.de/en,"DAAD - German Academic Exchange Service",2026-02-06,"From an eligible developing country | Relevant academic degree | Professional experience (often required)","Monthly stipend | Health insurance | Travel allowance | Additional support depending on program","Select an EPOS course | Prepare required documents | Apply directly to the course or university | Follow DAAD selection process","CV | Motivation letter | Academic transcripts | Proof of work experience | Language proficiency certificate"
turkiye-burslari-scholarship-bachelors,Turkiye Burslari Scholarship,"Turkish government scholarship covering tuition accommodation and monthly stipend for international students.",Turkey,Bachelors,Fully Funded,February,"Degree duration + language year",https://www.turkiyeburslari.gov.tr,"Presidency for Turks Abroad and Related Communities",2026-02-06,"International applicants | Meet age and academic requirements | Meet program-specific requirements","Tuition coverage | Accommodation | Monthly stipend | Health insurance | Turkish language course","Review eligibility | Apply through the official online system | Submit required documents | Track results on the official site","Passport or national ID | Academic transcripts | Diploma or expected graduation proof | Photo | Test scores (if required)"
turkiye-burslari-scholarship-masters,Turkiye Burslari Scholarship,"Turkish government scholarship covering tuition accommodation and monthly stipend for international students.",Turkey,Masters,Fully Funded,February,"Degree duration + language year",https://www.turkiyeburslari.gov.tr,"Presidency for Turks Abroad and Related Communities",2026-02-06,"International applicants | Meet age and academic requirements | Meet program-specific requirements","Tuition coverage | Accommodation | Monthly stipend | Health insurance | Turkish language course","Review eligibility | Apply through the official online system | Submit required documents | Track results on the official site","Passport or national ID | Academic transcripts | Diploma or expected graduation proof | Photo | Test scores (if required)"
turkiye-burslari-scholarship-phd,Turkiye Burslari Scholarship,"Turkish government scholarship covering tuition accommodation and monthly stipend for international students.",Turkey,PhD,Fully Funded,February,"Degree duration + language year",https://www.turkiyeburslari.gov.tr,"Presidency for Turks Abroad and Related Communities",2026-02-06,"International applicants | Meet age and academic requirements | Meet program-specific requirements","Tuition coverage | Accommodation | Monthly stipend | Health insurance | Turkish language course","Review eligibility | Apply through the official online system | Submit required documents | Track results on the official site","Passport or national ID | Academic transcripts | Diploma or expected graduation proof | Photo | Test scores (if required)"
chinese-government-scholarship-bachelors,Chinese Government Scholarship (CSC),"Scholarship funded by the Chinese government to attract international students to Chinese universities.",China,Bachelors,Fully Funded,"January-April","Degree duration",https://www.campuschina.org,"China Scholarship Council",2026-02-06,"Non-Chinese citizens | Meet admission requirements of the host university | Meet health and other program requirements","Tuition coverage | Accommodation (program dependent) | Monthly stipend (program dependent) | Medical insurance","Select a university and program | Submit the CSC application online | Submit required documents | Track admission results through official channels","Passport | Academic transcripts | Study plan | Recommendation letters | Foreigner physical examination form (if required)"
chinese-government-scholarship-masters,Chinese Government Scholarship (CSC),"Scholarship funded by the Chinese government to attract international students to Chinese universities.",China,Masters,Fully Funded,"January-April","Degree duration",https://www.campuschina.org,"China Scholarship Council",2026-02-06,"Non-Chinese citizens | Meet admission requirements of the host university | Meet health and other program requirements","Tuition coverage | Accommodation (program dependent) | Monthly stipend (program dependent) | Medical insurance","Select a university and program | Submit the CSC application online | Submit required documents | Track admission results through official channels","Passport | Academic transcripts | Study plan | Recommendation letters | Foreigner physical examination form (if required)"
chinese-government-scholarship-phd,Chinese Government Scholarship (CSC),"Scholarship funded by the Chinese government to attract international students to Chinese universities.",China,PhD,Fully Funded,"January-April","Degree duration",https://www.campuschina.org,"China Scholarship Council",2026-02-06,"Non-Chinese citizens | Meet admission requirements of the host university | Meet health and other program requirements","Tuition coverage | Accommodation (program dependent) | Monthly stipend (program dependent) | Medical insurance","Select a university and program | Submit the CSC application online | Submit required documents | Track admission results through official channels","Passport | Academic transcripts | Study plan | Recommendation letters | Foreigner physical examination form (if required)"
mext-scholarship-bachelors,MEXT Scholarship,"Japanese government scholarship supporting international students in top Japanese universities through embassy or university recommendation.",Japan,Bachelors,Fully Funded,"April-May","Degree duration + language training",https://www.studyinjapan.go.jp,"Ministry of Education Culture Sports Science and Technology (MEXT)",2026-02-06,"Meet nationality and age requirements | Meet academic requirements for the selected track | Pass required screening steps","Tuition coverage | Monthly allowance | Travel support (as applicable) | Language training (as applicable)","Choose embassy or university recommendation track | Submit application and documents | Complete exams and interviews | Follow placement instructions","Passport | Academic transcripts | Recommendation letters | Study plan or research plan (if required) | Health certificate (if required)"
mext-scholarship-masters,MEXT Scholarship,"Japanese government scholarship supporting international students in top Japanese universities through embassy or university recommendation.",Japan,Masters,Fully Funded,"April-May","Degree duration + language training",https://www.studyinjapan.go.jp,"Ministry of Education Culture Sports Science and Technology (MEXT)",2026-02-06,"Meet nationality and age requirements | Meet academic requirements for the selected track | Pass required screening steps","Tuition coverage | Monthly allowance | Travel support (as applicable) | Language training (as applicable)","Choose embassy or university recommendation track | Submit application and documents | Complete exams and interviews | Follow placement instructions","Passport | Academic transcripts | Recommendation letters | Study plan or research plan (if required) | Health certificate (if required)"
mext-scholarship-phd,MEXT Scholarship,"Japanese government scholarship supporting international students in top Japanese universities through embassy or university recommendation.",Japan,PhD,Fully Funded,"April-May","Degree duration + language training",https://www.studyinjapan.go.jp,"Ministry of Education Culture Sports Science and Technology (MEXT)",2026-02-06,"Meet nationality and age requirements | Meet academic requirements for the selected track | Pass required screening steps","Tuition coverage | Monthly allowance | Travel support (as applicable) | Language training (as applicable)","Choose embassy or university recommendation track | Submit application and documents | Complete exams and interviews | Follow placement instructions","Passport | Academic transcripts | Recommendation letters | Study plan or research plan (if required) | Health certificate (if required)"
fulbright-foreign-student-program-masters,Fulbright Foreign Student Program,"Prestigious US government scholarship enabling international students to pursue graduate study in the United States.",United States,Masters,Fully Funded,"Varies by country","1-2 years",https://foreign.fulbrightonline.org,"U.S. Department of State",2026-02-06,"Citizen of a participating country | Meet academic requirements for graduate study | Meet English proficiency requirements","Tuition and fees (program dependent) | Monthly stipend | Health insurance | Travel support (as applicable)","Apply through your local Fulbright commission or embassy | Submit online application and documents | Complete interviews if required | Follow placement instructions","Academic transcripts | CV | Personal statements | Recommendation letters | Test scores (if required)"
fulbright-foreign-student-program-phd,Fulbright Foreign Student Program,"Prestigious US government scholarship enabling international students to pursue graduate study in the United States.",United States,PhD,Fully Funded,"Varies by country","1-2 years",https://foreign.fulbrightonline.org,"U.S. Department of State",2026-02-06,"Citizen of a participating country | Meet academic requirements for graduate study | Meet English proficiency requirements","Tuition and fees (program dependent) | Monthly stipend | Health insurance | Travel support (as applicable)","Apply through your local Fulbright commission or embassy | Submit online application and documents | Complete interviews if required | Follow placement instructions","Academic transcripts | CV | Personal statements | Recommendation letters | Test scores (if required)"
